,year,state,r_win,d_win,r_votes,d_votes
0,1976,ALABAMA,3.0,4.0,314970.0,667052.0
1,1976,ALASKA,1.0,0.0,83722.0,34194.0
2,1976,ARIZONA,2.0,2.0,340478.0,355747.0
3,1976,ARKANSAS,1.0,3.0,75385.0,260998.0
4,1976,CALIFORNIA,14.0,29.0,3220418.0,4144324.0
5,1976,COLORADO,2.0,3.0,536879.0,454741.0
6,1976,CONNECTICUT,2.0,4.0,651250.0,681730.0
7,1976,DELAWARE,1.0,0.0,110636.0,102411.0
8,1976,FLORIDA,5.0,10.0,937257.0,1125786.0
9,1976,GEORGIA,0.0,10.0,321891.0,929829.0
10,1976,HAWAII,0.0,2.0,77662.0,184166.0
11,1976,IDAHO,2.0,0.0,180008.0,161899.0
12,1976,ILLINOIS,12.0,12.0,2112868.0,2246614.0
13,1976,INDIANA,3.0,8.0,932002.0,1166368.0
14,1976,IOWA,2.0,4.0,526677.0,709435.0
15,1976,KANSAS,3.0,2.0,545240.0,348621.0
16,1976,KENTUCKY,2.0,5.0,374086.0,605680.0
17,1976,LOUISIANA,2.0,6.0,364582.0,624098.0
18,1976,MAINE,2.0,0.0,314815.0,151255.0
19,1976,MARYLAND,3.0,5.0,473316.0,789029.0
20,1976,MASSACHUSETTS,2.0,10.0,723119.0,1509521.0
21,1976,MICHIGAN,8.0,11.0,1503114.0,1898241.0
22,1976,MINNESOTA,3.0,5.0,729577.0,1039999.0
23,1976,MISSISSIPPI,2.0,3.0,256608.0,375328.0
24,1976,MISSOURI,2.0,8.0,812238.0,1080807.0
25,1976,MONTANA,1.0,1.0,140446.0,180459.0
26,1976,NEBRASKA,2.0,1.0,385630.0,211007.0
27,1976,NEVADA,0.0,1.0,24124.0,153996.0
28,1976,NEW HAMPSHIRE,1.0,1.0,148998.0,173598.0
29,1976,NEW JERSEY,4.0,11.0,1217932.0,1538658.0
30,1976,NEW MEXICO,1.0,1.0,214718.0,185363.0
31,1976,NEW YORK,12.0,27.0,2292372.0,3239945.0
32,1976,NORTH CAROLINA,2.0,9.0,549410.0,1010630.0
33,1976,NORTH DAKOTA,1.0,0.0,181018.0,104263.0
34,1976,OHIO,13.0,10.0,1917322.0,1817528.0
35,1976,OKLAHOMA,1.0,5.0,372221.0,683293.0
36,1976,OREGON,0.0,4.0,262514.0,599135.0
37,1976,PENNSYLVANIA,8.0,17.0,2006856.0,2410267.0
38,1976,RHODE ISLAND,0.0,2.0,113518.0,271127.0
39,1976,SOUTH CAROLINA,1.0,5.0,279390.0,501943.0
40,1976,SOUTH DAKOTA,2.0,0.0,221188.0,72501.0
41,1976,TENNESSEE,3.0,5.0,452877.0,774879.0
42,1976,TEXAS,2.0,22.0,1277165.0,2368543.0
43,1976,UTAH,1.0,1.0,251403.0,266562.0
44,1976,VERMONT,1.0,0.0,124458.0,60202.0
45,1976,VIRGINIA,6.0,4.0,670400.0,666082.0
46,1976,WASHINGTON,1.0,6.0,585719.0,817948.0
47,1976,WEST VIRGINIA,0.0,4.0,159189.0,455172.0
48,1976,WISCONSIN,2.0,7.0,760740.0,1190287.0
49,1976,WYOMING,0.0,1.0,66147.0,85721.0
50,1978,ALABAMA,3.0,4.0,197176.0,439564.0
51,1978,ALASKA,1.0,0.0,68811.0,55176.0
52,1978,ARIZONA,2.0,2.0,230573.0,261567.0
53,1978,ARKANSAS,2.0,2.0,195371.0,97890.0
54,1978,CALIFORNIA,17.0,26.0,3105933.0,3335332.0
55,1978,COLORADO,2.0,3.0,402274.0,369635.0
56,1978,CONNECTICUT,1.0,5.0,423474.0,592396.0
57,1978,DELAWARE,1.0,0.0,91689.0,64863.0
58,1978,FLORIDA,3.0,12.0,671943.0,948049.0
59,1978,GEORGIA,1.0,9.0,116301.0,472210.0
60,1978,HAWAII,0.0,2.0,40167.0,202824.0
61,1978,IDAHO,2.0,0.0,167271.0,118012.0
62,1978,ILLINOIS,13.0,11.0,1576522.0,1464688.0
63,1978,INDIANA,4.0,7.0,680513.0,751940.0
64,1978,IOWA,3.0,3.0,406248.0,403365.0
65,1978,KANSAS,4.0,1.0,440586.0,233001.0
66,1978,KENTUCKY,3.0,4.0,207568.0,264798.0
67,1978,LOUISIANA,3.0,5.0,65320.0,65587.0
68,1978,MAINE,2.0,0.0,208730.0,141039.0
69,1978,MARYLAND,2.0,6.0,312974.0,604457.0
70,1978,MASSACHUSETTS,2.0,10.0,471755.0,1249311.0
71,1978,MICHIGAN,6.0,13.0,1150495.0,1538922.0
72,1978,MINNESOTA,4.0,4.0,709387.0,779286.0
73,1978,MISSISSIPPI,2.0,3.0,236274.0,251558.0
74,1978,MISSOURI,2.0,8.0,575578.0,966553.0
75,1978,MONTANA,1.0,1.0,139859.0,143496.0
76,1978,NEBRASKA,2.0,1.0,310919.0,183817.0
77,1978,NEVADA,0.0,1.0,44425.0,132513.0
78,1978,NEW HAMPSHIRE,1.0,1.0,133666.0,122243.0
79,1978,NEW JERSEY,5.0,10.0,837783.0,1043747.0
80,1978,NEW MEXICO,1.0,1.0,118075.0,166471.0
81,1978,NEW YORK,13.0,26.0,1796078.0,2200810.0
82,1978,NORTH CAROLINA,2.0,9.0,406076.0,607324.0
83,1978,NORTH DAKOTA,1.0,0.0,147712.0,68016.0
84,1978,OHIO,13.0,10.0,1471855.0,1278151.0
85,1978,OKLAHOMA,1.0,5.0,258160.0,330953.0
86,1978,OREGON,0.0,4.0,258140.0,587445.0
87,1978,PENNSYLVANIA,10.0,15.0,1711318.0,1804598.0
88,1978,RHODE ISLAND,0.0,2.0,133637.0,174165.0
89,1978,SOUTH CAROLINA,2.0,4.0,183433.0,376777.0
90,1978,SOUTH DAKOTA,1.0,1.0,135324.0,120199.0
91,1978,TENNESSEE,3.0,5.0,448825.0,580617.0
92,1978,TEXAS,4.0,20.0,888215.0,1285348.0
93,1978,UTAH,1.0,1.0,206520.0,162791.0
94,1978,VERMONT,1.0,0.0,90688.0,23228.0
